source_system,strategy_id,ticker,timeframe,signal_time,side,entry_type,entry_price_ref,stop_price,target_price,raw_score,normalized_score,confidence,risk_unit,reason_codes,metadata
B,preset_06,NVDA,1D,2026-04-24T00:00:00,long,next_open,89.620849,85.13980655,103.06397635,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-07-09', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,NVDA,1D,2026-04-24T00:00:00,long,next_open,89.620849,85.13980655,103.06397635,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-07-12', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,NVDA,1D,2026-04-24T00:00:00,long,next_open,89.620849,85.13980655,103.06397635,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-08-16', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,NVDA,1D,2026-04-24T00:00:00,long,next_open,89.620849,85.13980655,103.06397635,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-10-02', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,NVDA,1D,2026-04-24T00:00:00,long,next_open,89.620849,85.13980655,103.06397635,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-03-13', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,NVDA,1D,2026-04-24T00:00:00,long,next_open,89.620849,85.13980655,103.06397635,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-05-03', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,NVDA,1D,2026-04-24T00:00:00,long,next_open,89.620849,85.13980655,103.06397635,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-05-16', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,NVDA,1D,2026-04-24T00:00:00,long,next_open,89.620849,85.13980655,103.06397635,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-05-20', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,NVDA,1D,2026-04-24T00:00:00,long,next_open,89.620849,85.13980655,103.06397635,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-07-12', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,NVDA,1D,2026-04-24T00:00:00,long,next_open,89.620849,85.13980655,103.06397635,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-08-19', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,NVDA,1D,2026-04-24T00:00:00,long,next_open,89.620849,85.13980655,103.06397635,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-08-21', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,NVDA,1D,2026-04-24T00:00:00,long,next_open,89.620849,85.13980655,103.06397635,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-10-02', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,NVDA,1D,2026-04-24T00:00:00,long,next_open,89.620849,85.13980655,103.06397635,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-11-12', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_07,NVDA,1D,2026-04-24T00:00:00,long,next_open,104.500133,99.27512635,120.17515295,0.0,50.0,0.5,,rel_volume_min|power_play,"{'origin': 'preset_pack', 'original_signal_date': '2024-05-23', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_07,NVDA,1D,2026-04-24T00:00:00,long,next_open,104.500133,99.27512635,120.17515295,0.0,50.0,0.5,,rel_volume_min|power_play,"{'origin': 'preset_pack', 'original_signal_date': '2024-08-05', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_07,NVDA,1D,2026-04-24T00:00:00,long,next_open,104.500133,99.27512635,120.17515295,0.0,50.0,0.5,,rel_volume_min|power_play,"{'origin': 'preset_pack', 'original_signal_date': '2024-12-20', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_07,NVDA,1D,2026-04-24T00:00:00,long,next_open,104.500133,99.27512635,120.17515295,0.0,50.0,0.5,,rel_volume_min|power_play,"{'origin': 'preset_pack', 'original_signal_date': '2024-05-23', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_07,NVDA,1D,2026-04-24T00:00:00,long,next_open,104.500133,99.27512635,120.17515295,0.0,50.0,0.5,,rel_volume_min|power_play,"{'origin': 'preset_pack', 'original_signal_date': '2024-08-05', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_07,NVDA,1D,2026-04-24T00:00:00,long,next_open,104.500133,99.27512635,120.17515295,0.0,50.0,0.5,,rel_volume_min|power_play,"{'origin': 'preset_pack', 'original_signal_date': '2024-12-20', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_12,NVDA,1D,2026-04-24T00:00:00,long,next_open,113.105337,107.45007015,130.07113755,0.0,50.0,0.5,,weekly_return_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-05-28', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_12,NVDA,1D,2026-04-24T00:00:00,long,next_open,113.105337,107.45007015,130.07113755,0.0,50.0,0.5,,weekly_return_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-05-28', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
