source_system,strategy_id,ticker,timeframe,signal_time,side,entry_type,entry_price_ref,stop_price,target_price,raw_score,normalized_score,confidence,risk_unit,reason_codes,metadata
A,unknown,RVMD,1D,2024-11-25,long,next_open,57.5,52.9,63.25,0.887,0.8869999999999999,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,RYAN,1D,2024-11-25,long,next_open,73.781,67.8785,81.1591,0.669,0.669,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,S,1D,2024-11-25,long,next_open,27.88,25.6496,30.668,0.728,0.728,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,SATS,1D,2024-11-25,long,next_open,24.41,22.4572,26.851,0.86,0.86,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,SCI,1D,2024-11-25,long,next_open,86.4598,79.543,95.1058,0.627,0.627,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,SF,1D,2024-11-25,long,next_open,76.5235,70.4016,84.1758,0.882,0.882,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,SFM,1D,2024-11-25,long,next_open,147.98,136.1416,162.778,0.93,0.93,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,SNDR,1D,2024-11-25,long,next_open,31.3059,28.8014,34.4365,0.728,0.728,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,SRE,1D,2024-11-25,long,next_open,91.1442,83.8526,100.2586,0.687,0.687,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,STLD,1D,2024-11-25,long,next_open,142.3305,130.944,156.5635,0.773,0.773,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,TLN,1D,2024-11-25,long,next_open,209.34,192.5928,230.274,0.923,0.923,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,TRIP,1D,2024-11-25,long,next_open,31.5707,29.045,34.7278,0.607,0.607,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,TRMB,1D,2024-11-25,long,next_open,31.5707,29.045,34.7278,0.607,0.607,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,TT,1D,2024-11-25,long,next_open,409.5175,376.7561,450.4693,0.646,0.646,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,TTD,1D,2024-11-25,long,next_open,129.35,119.002,142.285,0.798,0.798,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,TTWO,1D,2024-11-25,long,next_open,187.62,172.6104,206.382,0.68,0.68,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,TW,1D,2024-11-25,long,next_open,134.2369,123.4979,147.6605,0.64,0.64,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,TXRH,1D,2024-11-25,long,next_open,198.4008,182.5288,218.2409,0.748,0.748,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,URI,1D,2024-11-25,long,next_open,854.7952,786.4116,940.2747,0.698,0.698,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,VIK,1D,2024-11-25,long,next_open,45.78,42.1176,50.358,0.902,0.902,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,VMI,1D,2024-11-25,long,next_open,346.7631,319.022,381.4394,0.787,0.787,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,VNOM,1D,2024-11-25,long,next_open,50.5527,46.5085,55.608,0.657,0.657,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,VNT,1D,2024-11-25,long,next_open,38.8899,35.7787,42.7789,0.588,0.588,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,WMB,1D,2024-11-25,long,next_open,55.7606,51.2998,61.3367,0.84,0.84,0.5,,,{'origin': 'combo_pipeline'}
