ticker,rs,breakout_lvl,dist_sma20_pct,dist_sma20,rvol,waiting_desc,sector_etf,excluded_by_xlv,allowed_shadow_candidate,shadow_status,source_snapshot
ALAB,92.74725274725274,239.76,17.38,17.38,1.59,SMA100>SMA200 (-2.28%),OTHER,False,True,shadow_allowed,paper_finviz
WES,89.23076923076924,47.36,9.95,9.95,0.81,Breakout > 47.36,OTHER,False,True,shadow_allowed,paper_finviz
MSFT,54.065934065934066,433.7,0.02,0.02,0.95,Breakout > 433.70,XLK,False,True,shadow_allowed,paper_finviz
SAIL,88.79120879120879,14.61,17.85,17.85,1.74,Breakout > 14.61,OTHER,False,True,shadow_allowed,paper_finviz
MXL,100.0,104.27,25.13,25.13,0.63,Breakout > 104.27,OTHER,False,True,shadow_allowed,paper_finviz
HUT,90.32967032967034,112.26,4.01,4.01,0.99,Breakout > 112.26,OTHER,False,True,shadow_allowed,paper_finviz
CMG,32.747252747252745,37.08,0.01,0.01,0.97,Breakout > 37.08,XLY,False,True,shadow_allowed,paper_finviz
MAR,43.2967032967033,380.0,0.52,0.52,1.21,Breakout > 380.00,XLY,False,True,shadow_allowed,paper_finviz
AAPL,83.2967032967033,303.2,5.17,5.17,0.88,Breakout > 303.20,XLK,False,True,shadow_allowed,paper_finviz
KDP,78.68131868131869,29.68,0.2,0.2,1.08,Breakout > 29.68,XLP,False,True,shadow_allowed,paper_finviz
HAS,74.94505494505495,99.2,2.05,2.05,1.71,Breakout > 99.20,OTHER,False,True,shadow_allowed,paper_finviz
JNJ,64.61538461538461,232.14,1.49,1.49,1.25,Breakout > 232.14,XLV,True,False,blocked_by_sector,paper_finviz
WMG,86.5934065934066,34.6,11.64,11.64,0.91,Breakout > 34.60,OTHER,False,True,shadow_allowed,paper_finviz
VRTX,56.92307692307692,456.68,0.24,0.24,1.07,Breakout > 456.68,XLV,True,False,blocked_by_sector,paper_finviz
HIMX,98.68131868131869,21.8,28.65,28.65,0.94,Breakout > 21.80,OTHER,False,True,shadow_allowed,paper_finviz
PLD,61.0989010989011,145.34,0.46,0.46,1.12,Breakout > 145.34,XLRE,False,True,shadow_allowed,paper_finviz
