day_idx,col_idx,exit_type_code,exit_price,shares,pnl,entry_day_idx,initial_risk,context_rvol,context_adr,context_volume,exit_date,entry_date,symbol,exit_phase,monetary_risk,adjusted_risk_dollars,base_risk_dollars,context_vol,return_pct,entry_price,context_dollar_vol,signal_type,dist_sma20_pct
201.0,4.0,1.0,87.05196380615234,18.0,116.06932067871094,178.0,200.0,1.5645650625228882,2.835301160812378,14626900.0,2018-06-21,2018-05-18,PYPL,TP1,200.0,200.0,200.0,14626900.0,8.000002650289392,80.60366821289062,1178981794.58313,MOMENTUM,5.854841232299805
223.0,4.0,2.0,91.88818359375,31.0,349.8199768066406,178.0,200.0,1.5645650625228882,2.835301160812378,14626900.0,2018-07-24,2018-05-18,PYPL,TP2,200.0,200.0,200.0,14626900.0,14.000002271676623,80.60366821289062,1178981794.58313,MOMENTUM,5.854841232299805
226.0,4.0,3.0,85.26289367675781,13.0,60.56993103027344,178.0,200.0,1.5645650625228882,2.835301160812378,14626900.0,2018-07-27,2018-05-18,PYPL,RUNNER,200.0,200.0,200.0,14626900.0,5.780413679885174,80.60366821289062,1178981794.58313,MOMENTUM,5.854841232299805
226.0,5.0,1.0,17.219980239868164,93.0,118.62649440765381,225.0,200.0,1.5440763235092163,2.617421865463257,38416000.0,2018-07-27,2018-07-26,LRCX,TP1,200.0,200.0,200.0,38416000.0,7.99999736825468,15.944426536560059,612521089.8284912,MOMENTUM,1.8685965538024902
227.0,31.0,0.0,32.61000061035156,142.0,-355.9468688964844,213.0,200.0,1.9159448146820068,2.5436840057373047,15904200.0,2018-07-30,2018-07-10,PANW,STOP,200.0,200.0,200.0,15904200.0,-7.1381147003179795,35.116668701171875,558502522.3571777,MOMENTUM,0.6869435906410217
241.0,5.0,0.0,15.28329849243164,220.0,-145.44816970825195,225.0,200.0,1.5440763235092163,2.617421865463257,38416000.0,2018-08-17,2018-07-26,LRCX,STOP,200.0,200.0,200.0,38416000.0,-4.146452320580314,15.944426536560059,612521089.8284912,MOMENTUM,1.8685965538024902
250.0,6.0,0.0,340.1499938964844,13.0,-356.0701904296875,246.0,200.0,1.6511948108673096,4.8560590744018555,1453200.0,2018-08-30,2018-08-24,MELI,STOP,200.0,200.0,200.0,1453200.0,-7.452253907506183,367.5400085449219,534109140.41748047,MOMENTUM,5.801617622375488
274.0,28.0,0.0,36.2764778137207,132.0,-199.52069091796875,268.0,200.0,1.5045948028564453,3.5709478855133057,137996992.0,2018-10-04,2018-09-26,NFLX,STOP,200.0,200.0,200.0,137996992.0,-4.000001211399634,37.78799819946289,5214630085.227295,MOMENTUM,4.357187747955322
316.0,23.0,0.0,52.725120544433594,90.0,-240.68710327148438,315.0,200.0,1.5136057138442993,2.618368148803711,57532000.0,2018-12-04,2018-12-03,GOOGL,STOP,200.0,200.0,200.0,57532000.0,-4.827308780106298,55.39942169189453,3187239528.778076,MOMENTUM,4.584794521331787
349.0,5.0,1.0,14.700984954833984,117.0,227.37884902954102,347.0,200.0,1.5575906038284302,3.880387783050537,37249000.0,2019-01-24,2019-01-22,LRCX,TP1,200.0,200.0,200.0,37249000.0,15.233371666962691,12.757575988769531,475206948.00567627,MOMENTUM,1.6856900453567505
350.0,1.0,0.0,40.4836311340332,116.0,-271.5417938232422,349.0,200.0,1.979905128479004,2.7641818523406982,50578300.0,2019-01-25,2019-01-24,INTC,STOP,200.0,200.0,200.0,50578300.0,-5.466209901348526,42.82450866699219,2165990846.711731,MOMENTUM,4.273838043212891
350.0,5.0,2.0,15.0922212600708,195.0,455.25582790374756,347.0,200.0,1.5575906038284302,3.880387783050537,37249000.0,2019-01-25,2019-01-22,LRCX,TP2,200.0,200.0,200.0,37249000.0,18.300069490916247,12.757575988769531,475206948.00567627,MOMENTUM,1.6856900453567505
350.0,37.0,1.0,85.03705596923828,18.0,114.202880859375,347.0,200.0,1.6143163442611694,2.894564390182495,11068600.0,2019-01-25,2019-01-22,TXN,TP1,200.0,200.0,200.0,11068600.0,8.062532521353447,78.69245147705078,871015268.4188843,MOMENTUM,1.937024712562561
354.0,26.0,1.0,165.53369140625,9.0,145.41421508789062,353.0,200.0,1.9814249277114868,3.0448038578033447,44613200.0,2019-01-31,2019-01-30,META,TP1,200.0,200.0,200.0,44613200.0,10.81637935666449,149.37655639648438,6664166185.827637,MOMENTUM,4.198200225830078
355.0,3.0,0.0,81.3115005493164,58.0,-268.25,354.0,200.0,1.7315380573272705,2.622793436050415,218206000.0,2019-02-01,2019-01-31,AMZN,STOP,200.0,200.0,200.0,218206000.0,-5.381880772938677,85.9365005493164,18751860038.864136,MOMENTUM,4.477145195007324
357.0,26.0,2.0,170.28927612304688,17.0,355.5162353515625,353.0,200.0,1.9814249277114868,3.0448038578033447,44613200.0,2019-02-05,2019-01-30,META,TP2,200.0,200.0,200.0,44613200.0,14.000001225797899,149.37655639648438,6664166185.827637,MOMENTUM,4.198200225830078
358.0,35.0,0.0,404.3175964355469,11.0,-248.431884765625,354.0,200.0,1.7643927335739136,2.775735855102539,1441800.0,2019-02-06,2019-01-31,REGN,STOP,200.0,200.0,200.0,1441800.0,-5.290371145067799,426.9023132324219,615507755.2185059,MOMENTUM,5.487807273864746
368.0,26.0,3.0,158.92982482910156,7.0,66.87287902832031,353.0,200.0,1.9814249277114868,3.0448038578033447,44613200.0,2019-02-21,2019-01-30,META,RUNNER,200.0,200.0,200.0,44613200.0,6.395426874924281,149.37655639648438,6664166185.827637,MOMENTUM,4.198200225830078
