ticker,close,sma20,gap_to_sma20_pct,rvol,gap_rvol,adr,gap_adr,dist_sma20,gap_dist,dv_M,gap_dv_M,rs_pct,gap_rs,n_blockers,blockers,proximity_score
ADLR,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ADLTQ,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ADN,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ADPC,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ADPI,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ADSC,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ADSW,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ADTM1,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ADZA,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
AEC1,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
AENZ,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
AESK,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
AESP,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
AEON,1.11,1.12,0.63,0.82,0.1,10.25,0.0,-0.63,0.0,0.1,31.4,50.0,20.0,4,below_SMA20(0.6%) | rvol(0.82<0.92) | dv(0M<32M) | rs(50%<70%),15.423
ADTN,9.94,10.07,1.34,0.63,0.29,4.63,0.0,-1.34,0.0,13.5,18.0,50.0,20.0,4,below_SMA20(1.3%) | rvol(0.63<0.92) | dv(13M<32M) | rs(50%<70%),17.326
AB,38.09,39.05,2.46,0.56,0.36,2.65,0.0,-2.46,0.0,15.6,15.9,50.0,20.0,4,below_SMA20(2.5%) | rvol(0.56<0.92) | dv(16M<32M) | rs(50%<70%),20.083
AD,48.21,49.07,1.75,0.41,0.51,2.84,0.0,-1.75,0.0,10.5,21.0,50.0,20.0,4,below_SMA20(1.7%) | rvol(0.41<0.92) | dv(11M<32M) | rs(50%<70%),20.667
ACP,5.24,5.49,4.63,1.42,0.0,1.37,0.05,-4.63,0.0,3.1,28.5,50.0,20.0,4,below_SMA20(4.6%) | adr(1.37<1.42) | dv(3M<32M) | rs(50%<70%),23.154
ADXN,6.88,7.24,5.03,0.5,0.42,2.1,0.0,-5.03,0.0,0.0,31.5,50.0,20.0,4,below_SMA20(5.0%) | rvol(0.50<0.92) | dv(0M<32M) | rs(50%<70%),27.373
ABR-PE,17.27,17.39,0.68,1.8,0.0,0.7,0.72,-0.68,0.0,0.0,31.5,50.0,20.0,4,below_SMA20(0.7%) | adr(0.70<1.42) | dv(0M<32M) | rs(50%<70%),28.891
ABSI,2.39,2.61,8.39,0.89,0.03,6.55,0.0,-8.39,0.0,6.7,24.8,50.0,20.0,4,below_SMA20(8.4%) | rvol(0.89<0.92) | dv(7M<32M) | rs(50%<70%),29.572
ABBNY,83.4,88.59,5.86,0.14,0.78,1.97,0.0,-5.86,0.0,27.8,3.7,50.0,20.0,4,below_SMA20(5.9%) | rvol(0.14<0.92) | dv(28M<32M) | rs(50%<70%),29.927
ACR-PD,21.95,22.1,0.64,4.33,0.0,0.6,0.82,-0.64,0.0,0.0,31.5,50.0,20.0,4,below_SMA20(0.6%) | adr(0.60<1.42) | dv(0M<32M) | rs(50%<70%),30.878
ABLLL,25.68,25.95,1.04,1.2,0.0,0.63,0.79,-1.04,0.0,0.1,31.4,50.0,20.0,4,below_SMA20(1.0%) | adr(0.63<1.42) | dv(0M<32M) | rs(50%<70%),31.028
ABNAF,0.15,0.16,6.66,0.45,0.47,2.6,0.0,-6.66,0.0,0.0,31.5,50.0,20.0,4,below_SMA20(6.7%) | rvol(0.45<0.92) | dv(0M<32M) | rs(50%<70%),31.174
ABLV,0.69,0.73,6.08,0.29,0.63,3.73,0.0,-6.08,0.0,0.0,31.5,50.0,20.0,4,below_SMA20(6.1%) | rvol(0.29<0.92) | dv(0M<32M) | rs(50%<70%),31.591
ACR-PC,25.03,25.13,0.41,5.76,0.0,0.53,0.89,-0.41,0.0,0.1,31.4,50.0,20.0,4,below_SMA20(0.4%) | adr(0.53<1.42) | dv(0M<32M) | rs(50%<70%),31.856
AAWH,0.5,0.53,6.52,0.11,0.81,8.9,0.0,-6.52,0.0,0.0,31.5,50.0,20.0,4,below_SMA20(6.5%) | rvol(0.11<0.92) | dv(0M<32M) | rs(50%<70%),34.244
AEF,7.41,8.21,9.74,0.56,0.36,2.77,0.0,-9.74,0.0,1.5,30.0,50.0,20.0,4,below_SMA20(9.7%) | rvol(0.56<0.92) | dv(1M<32M) | rs(50%<70%),36.061
ADSE,10.21,11.22,8.99,0.38,0.54,6.18,0.0,-8.99,0.0,0.1,31.5,50.0,20.0,4,below_SMA20(9.0%) | rvol(0.38<0.92) | dv(0M<32M) | rs(50%<70%),36.572
ACAT,10.0,10.0,0.0,20.0,0.0,0.0,1.42,0.0,0.0,0.0,31.5,50.0,20.0,4,below_SMA20(0.0%) | adr(0.00<1.42) | dv(0M<32M) | rs(50%<70%),41.553
ADFS,0.0,0.0,0.0,20.0,0.0,0.0,1.42,0.0,0.0,0.0,31.5,50.0,20.0,4,below_SMA20(0.0%) | adr(0.00<1.42) | dv(0M<32M) | rs(50%<70%),41.553
ADLI,0.0,0.0,0.0,20.0,0.0,0.0,1.42,0.0,0.0,0.0,31.5,50.0,20.0,4,below_SMA20(0.0%) | adr(0.00<1.42) | dv(0M<32M) | rs(50%<70%),41.553
ADYX,0.0,0.0,0.0,20.0,0.0,0.0,1.42,0.0,0.0,0.0,31.5,50.0,20.0,4,below_SMA20(0.0%) | adr(0.00<1.42) | dv(0M<32M) | rs(50%<70%),41.553
AEDC,0.0,0.0,0.0,20.0,0.0,0.0,1.42,0.0,0.0,0.0,31.5,50.0,20.0,4,below_SMA20(0.0%) | adr(0.00<1.42) | dv(0M<32M) | rs(50%<70%),41.553
ADNT,19.76,23.34,15.33,0.83,0.09,3.71,0.0,-15.33,0.0,16.4,15.2,50.0,20.0,4,below_SMA20(15.3%) | rvol(0.83<0.92) | dv(16M<32M) | rs(50%<70%),43.063
AXAC,10.43,10.43,0.0,0.0,0.92,0.0,1.42,0.0,0.0,,0.0,50.0,20.0,4,below_SMA20(0.0%) | rvol(0.00<0.92) | adr(0.00<1.42) | rs(50%<70%),47.6
AERGP,3.79,3.79,0.0,0.0,0.92,0.0,1.42,0.0,0.0,,0.0,50.0,20.0,4,below_SMA20(0.0%) | rvol(0.00<0.92) | adr(0.00<1.42) | rs(50%<70%),47.6
ADIL,1.96,2.27,13.69,0.2,0.72,11.74,0.0,-13.69,0.0,0.3,31.2,50.0,20.0,4,below_SMA20(13.7%) | rvol(0.20<0.92) | dv(0M<32M) | rs(50%<70%),47.756
ADV,0.74,0.61,-22.04,0.84,0.08,11.96,0.0,22.04,6.56,0.6,30.9,50.0,20.0,4,rvol(0.84<0.92) | dist(22.0>15.48) | dv(1M<32M) | rs(50%<70%),64.583
AERS,0.0,0.0,17.24,16.88,0.0,0.0,1.42,-17.24,0.0,0.0,31.5,50.0,20.0,4,below_SMA20(17.2%) | adr(0.00<1.42) | dv(0M<32M) | rs(50%<70%),76.036
ABP,0.12,0.26,53.74,0.1,0.82,31.38,0.0,-53.74,0.0,0.1,31.5,50.0,20.0,4,below_SMA20(53.7%) | rvol(0.10<0.92) | dv(0M<32M) | rs(50%<70%),128.858
ACAAU,10.09,25.28,60.09,0.27,0.65,4.29,0.0,-60.09,0.0,0.4,31.2,50.0,20.0,4,below_SMA20(60.1%) | rvol(0.27<0.92) | dv(0M<32M) | rs(50%<70%),139.77
ACB,3.43,8.38,59.06,4.34,0.0,0.87,0.55,-59.06,0.0,0.4,31.1,50.0,20.0,4,below_SMA20(59.1%) | adr(0.87<1.42) | dv(0M<32M) | rs(50%<70%),142.22
ACONW,0.04,2.05,98.04,0.06,0.86,5.15,0.0,-98.04,0.0,0.0,31.5,50.0,20.0,4,below_SMA20(98.0%) | rvol(0.06<0.92) | dv(0M<32M) | rs(50%<70%),217.833
AERTW,0.02,8.14,99.81,0.0,0.92,5.53,0.0,-99.81,0.0,0.0,31.5,50.0,20.0,4,below_SMA20(99.8%) | rvol(0.00<0.92) | dv(0M<32M) | rs(50%<70%),221.953
ACAN,0.0,17.66,100.0,0.01,0.91,3.4,0.0,-100.0,0.0,0.0,31.5,50.0,20.0,4,below_SMA20(100.0%) | rvol(0.01<0.92) | dv(0M<32M) | rs(50%<70%),222.247
AAPI,0.2,0.06,-237.65,2.12,0.0,1.16,0.26,237.65,222.17,0.0,31.5,50.0,20.0,4,adr(1.16<1.42) | dist(237.7>15.48) | dv(0M<32M) | rs(50%<70%),715.736
ADTTF,150.5,41.48,-262.82,0.01,0.91,7.11,0.0,262.82,247.34,2.2,29.3,50.0,20.0,4,rvol(0.01<0.92) | dist(262.8>15.48) | dv(2M<32M) | rs(50%<70%),795.038
AAQL,0.6,0.16,-281.13,2.86,0.0,0.0,1.42,281.13,265.65,0.0,31.5,50.0,20.0,4,adr(0.00<1.42) | dist(281.1>15.48) | dv(0M<32M) | rs(50%<70%),869.475
AEFC,18.98,4.89,-288.5,7.41,0.0,0.37,1.05,288.5,273.02,0.2,31.3,50.0,20.0,4,adr(0.37<1.42) | dist(288.5>15.48) | dv(0M<32M) | rs(50%<70%),884.047
ADAM,7.87,2.0,-293.19,3.58,0.0,0.82,0.6,293.19,277.71,1.2,30.3,50.0,20.0,4,adr(0.82<1.42) | dist(293.2>15.48) | dv(1M<32M) | rs(50%<70%),889.204
ACRS,3.54,0.89,-298.32,0.29,0.63,14.29,0.0,298.32,282.84,10.9,20.6,50.0,20.0,4,rvol(0.29<0.92) | dist(298.3>15.48) | dv(11M<32M) | rs(50%<70%),897.86
AAPG,24.43,6.05,-303.87,4.1,0.0,0.95,0.47,303.87,288.39,0.0,31.5,50.0,20.0,4,adr(0.95<1.42) | dist(303.9>15.48) | dv(0M<32M) | rs(50%<70%),918.678
