number,value,datetime_start,datetime_complete,duration,params_max_consolidation_range,params_max_dist_sma20,params_max_stop_pct,params_max_vix,params_min_consolidation_days,params_min_dollar_volume,params_min_volume,params_require_bullish_spy,params_rvol_danger,params_rvol_warning,params_rvol_warning_size,state
69,0.39173165785767894,2026-01-10 01:17:24.288516,2026-01-10 01:17:24.876794,0 days 00:00:00.588278,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
70,0.3833960517967226,2026-01-10 01:17:24.878673,2026-01-10 01:17:25.473719,0 days 00:00:00.595046,15.0,15.0,0.08,40.0,10,10000000.0,100000,False,3.5,2.0,0.6,COMPLETE
71,0.39173165785767894,2026-01-10 01:17:25.476574,2026-01-10 01:17:26.071903,0 days 00:00:00.595329,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
72,0.39173165785767894,2026-01-10 01:17:26.074072,2026-01-10 01:17:26.660158,0 days 00:00:00.586086,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
73,0.39173165785767894,2026-01-10 01:17:26.662059,2026-01-10 01:17:27.283492,0 days 00:00:00.621433,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
74,0.39173165785767894,2026-01-10 01:17:27.285639,2026-01-10 01:17:27.877117,0 days 00:00:00.591478,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
75,0.39173165785767894,2026-01-10 01:17:27.879249,2026-01-10 01:17:28.466805,0 days 00:00:00.587556,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
76,0.37157115289686454,2026-01-10 01:17:28.468988,2026-01-10 01:17:29.052198,0 days 00:00:00.583210,20.0,15.0,0.08,50.0,10,5000000.0,100000,False,3.0,2.5,0.7,COMPLETE
77,0.34471560333106377,2026-01-10 01:17:29.054435,2026-01-10 01:17:29.692545,0 days 00:00:00.638110,20.0,20.0,0.07,40.0,5,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
78,0.39055026222190115,2026-01-10 01:17:29.694447,2026-01-10 01:17:30.275985,0 days 00:00:00.581538,20.0,25.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.65,COMPLETE
79,0.38733155441013667,2026-01-10 01:17:30.277907,2026-01-10 01:17:30.862213,0 days 00:00:00.584306,25.0,15.0,0.08,40.0,10,10000000.0,200000,False,3.0,2.0,0.6,COMPLETE
80,0.3833960517967226,2026-01-10 01:17:30.864903,2026-01-10 01:17:31.442857,0 days 00:00:00.577954,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.5,2.0,0.6,COMPLETE
81,0.39173165785767894,2026-01-10 01:17:31.444998,2026-01-10 01:17:32.033480,0 days 00:00:00.588482,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
82,0.39173165785767894,2026-01-10 01:17:32.035635,2026-01-10 01:17:32.615582,0 days 00:00:00.579947,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
83,0.39173165785767894,2026-01-10 01:17:32.617563,2026-01-10 01:17:33.204231,0 days 00:00:00.586668,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
