ticker,price,avg_volume,dollar_volume,adr_pct
KLAC,1276.989990234375,471833.3333333333,602526443.7255859,1.5089881886844567
DASH,232.05999755859375,2586233.3333333335,600161301.0192871,1.5199110452422135
TXN,177.1300048828125,3379966.6666666665,598693512.1704102,0.9556230545650055
ISRG,577.1500244140625,1030333.3333333334,594656908.4879558,1.1902920445652325
ABT,124.80999755859375,4741700.0,591811565.423584,1.375368960191445
GILD,125.66999816894531,4690066.666666667,589400669.4122314,1.7767053956749823
SBUX,84.56999969482422,6711866.666666667,567622561.9517009,2.5621662329057733
BKNG,5446.509765625,102833.33333333333,560082754.2317708,1.167469991749547
ADI,277.55999755859375,2006900.0,557035159.1003418,0.9932827092481213
INTU,674.8300170898438,824233.3333333334,556217394.4193523,1.1122389893459639
ETN,323.6700134277344,1681266.6666666667,544175604.5756023,1.2975576225813754
HON,196.92999267578125,2761266.6666666665,543776224.4425455,1.3961341892696266
BSX,96.12999725341797,5624500.0,540683169.5518494,0.9189655422590275
ZTS,125.48999786376953,4263233.333333333,534993141.89275104,1.9022223908426252
AMGN,333.9599914550781,1595633.3333333333,532877694.3654378,1.5307807845031793
ASML,1065.52001953125,492366.6666666667,524626540.2832031,1.1258892869425567
T,24.65999984741211,21274166.666666668,524620946.7538198,1.3341647547801094
REGN,783.7100219726562,639066.6666666666,500842951.3753255,1.8717655602978434
PGR,227.66000366210938,2193800.0,499440516.03393555,1.098387460961987
AMT,174.8000030517578,2850866.6666666665,498331502.0334879,1.1521647081450386
RTX,186.3800048828125,2661566.6666666665,496062808.3292643,1.5342554902259962
NEE,80.44999694824219,6007500.0,483303356.66656494,1.3415612030774562
HUT,52.79999923706055,9090633.333333334,479985433.0643972,11.190517939079452
ABNB,136.77999877929688,3496733.3333333335,478283181.06486005,1.5659472333845788
SYK,354.739990234375,1322100.0,469001741.0888672,0.7866842026062304
XEL,74.08999633789062,6282500.0,465470401.99279785,1.2326976307679083
MELI,1998.2099609375,221166.66666666666,441937436.36067706,1.8904234400042008
TMO,579.1199951171875,747133.3333333334,432679852.35188806,1.2126112498835482
MO,58.97999954223633,7171533.333333333,422977032.71713257,0.8987675508779118
COP,91.80000305175781,4533666.666666667,416190613.8356527,1.7233767078983724
TJX,157.2899932861328,2599866.6666666665,408933010.54484046,1.1996710580030199
DE,467.44000244140625,866733.3333333334,405145831.44938153,1.0631704098204369
DHR,231.47000122070312,1743466.6666666667,403560231.46158856,1.7190194468198754
UPS,100.66000366210938,3985066.6666666665,401136825.2604166,1.387269839417906
ADP,258.1000061035156,1524566.6666666667,393490665.9718832,1.4748838996293425
MDT,97.2699966430664,4035166.6666666665,392500648.1208801,0.9656664512892802
UNP,235.0500030517578,1666066.6666666667,391608975.084432,0.9066951150151785
