symbol,entry_date,exit_date,entry_price,exit_price,shares,initial_shares,pnl,return_pct,reason,signal_type,tp1_executed,tp2_executed,final_shares_pct,R_inicial,adr_valor,entry_stage,initial_stop_loss,context_adr,context_vol,context_trend,context_price,context_sma20,context_rvol,is_profitable,signal_reason,returns_pct,position_value,monetary_risk,sector,market_health_score,market_health_status,market_health_reasons,sector_momentum_20d,sector_ranking,sector_momentum_class
TRGP,2021-05-07,2021-05-11,34.439764656083376,33.635371525567514,63.0,104.0,-11.730047244481696,-2.335652228023503,STOP_LOSS | Blue Sky Breakout: Base (34.22) and AVWAP (33.85) converge within 1.1%. Trend: Uptrend. RVOL: 1.89x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,False,60.57692307692307,1.198396697654168,0.9499199994638432,FULL,33.24136795842921,2.969383167975848,1769770,Weak,0,0,1.892018681144653,False,STOP_LOSS | Blue Sky Breakout: Base (34.22) and AVWAP (33.85) converge within 1.1%. Trend: Uptrend. RVOL: 1.89x. Clear path above with SMA20 support and volume confirmation.,-2.335652228023503,2169.705173333253,500.0,Other,0,RED,,,,
EMR,2021-05-07,2021-05-11,85.57906107035544,85.57906107035544,40.0,66.0,48.93269705601955,0.0,STOP_LOSS | Blue Sky Breakout: Base (85.10) and AVWAP (84.98) converge within 0.1%. Trend: Uptrend. RVOL: 1.65x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,False,60.60606060606061,1.8820268098469055,1.4525415645736597,FULL,83.69703426050853,1.6945593654384603,2684810,Uptrend,0,0,1.65241011038703,True,STOP_LOSS | Blue Sky Breakout: Base (85.10) and AVWAP (84.98) converge within 0.1%. Trend: Uptrend. RVOL: 1.65x. Clear path above with SMA20 support and volume confirmation.,0.0,3423.1624428142177,500.0,Other,0,RED,,,,
BX,2021-04-23,2021-05-12,72.46082388726884,72.46082388726884,57.0,186.0,220.67543083995028,0.0,STOP_LOSS | Blue Sky Breakout: Base (72.05) and AVWAP (70.76) converge within 1.8%. Trend: Uptrend. RVOL: 2.54x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,True,30.64516129032258,1.5438024202727831,1.203539096224791,FULL,70.91702146699606,1.651479303873084,2592735,Weak,0,0,2.5415020009614606,True,STOP_LOSS | Blue Sky Breakout: Base (72.05) and AVWAP (70.76) converge within 1.8%. Trend: Uptrend. RVOL: 2.54x. Clear path above with SMA20 support and volume confirmation.,0.0,4130.266961574324,500.0,Other,0,RED,,,,
COF,2021-05-05,2021-05-12,140.52178803677094,140.52178803677094,50.0,83.0,100.19268908420908,0.0,STOP_LOSS | Blue Sky Breakout: Base (139.77) and AVWAP (139.44) converge within 0.2%. Trend: Uptrend. RVOL: 1.53x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,False,60.24096385542169,4.039043450321572,3.036142093460877,FULL,136.48274458644937,2.351238801839265,2853770,Uptrend,0,0,1.5340202893344002,True,STOP_LOSS | Blue Sky Breakout: Base (139.77) and AVWAP (139.44) converge within 0.2%. Trend: Uptrend. RVOL: 1.53x. Clear path above with SMA20 support and volume confirmation.,0.0,7026.089401838547,500.0,Other,0,RED,,,,
DPZ,2021-04-30,2021-05-13,393.43750305175774,397.5219421386719,7.0,19.0,153.2826522603046,1.0381417773426678,"TIME_EXPIRATION (10-Day Rule) | Risk Clamped: 6.4% -> 4.0% (Max 2xADR/8%) | VWAP Reclaim: Weak open, price reclaimed VWAP at 391.48. Institutions defending position. RVOL: 2.45x",VWAP_RECLAIM,True,True,36.84210526315789,15.549799560013923,7.37354452630453,FULL,377.8877034917438,1.9364038048067576,497020,Weak,0,0,2.4454917284838595,True,"TIME_EXPIRATION (10-Day Rule) | Risk Clamped: 6.4% -> 4.0% (Max 2xADR/8%) | VWAP Reclaim: Weak open, price reclaimed VWAP at 391.48. Institutions defending position. RVOL: 2.45x",1.0381417773426678,2754.0625213623043,500.0,Other,0,RED,,,,
CF,2021-05-07,2021-05-13,47.7045699459782,47.7045699459782,43.0,71.0,55.687381720932365,0.0,STOP_LOSS | Blue Sky Breakout: Base (47.18) and AVWAP (47.11) converge within 0.2%. Trend: Uptrend. RVOL: 2.13x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,False,60.56338028169014,1.9888350614618704,1.4592201206069757,FULL,45.71573488451633,3.133302911770222,1774405,Weak,0,0,2.125316751380105,True,STOP_LOSS | Blue Sky Breakout: Base (47.18) and AVWAP (47.11) converge within 0.2%. Trend: Uptrend. RVOL: 2.13x. Clear path above with SMA20 support and volume confirmation.,0.0,2051.2965076770624,500.0,Other,0,RED,,,,
STX,2021-05-17,2021-05-19,86.25949563784043,82.05716937118086,71.0,117.0,-128.3192946768011,-4.871725988641286,STOP_LOSS | Blue Sky Breakout: Base (85.78) and AVWAP (84.83) converge within 1.1%. Trend: Uptrend. RVOL: 2.31x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,False,60.68376068376068,3.696649353391919,3.2213510670216983,FULL,82.56284628444851,3.7173559072197095,4223170,Weak,0,0,2.310235673505611,False,STOP_LOSS | Blue Sky Breakout: Base (85.78) and AVWAP (84.83) converge within 1.1%. Trend: Uptrend. RVOL: 2.31x. Clear path above with SMA20 support and volume confirmation.,-4.871725988641286,6124.424190286671,500.0,Other,0,RED,,,,
NEM,2021-05-18,2021-05-20,64.38899335626024,63.68234252929688,212.0,212.0,-149.80997531623416,-1.0974714623251125,MOMENTUM_FAIL (3-Day Rule) | Blue Sky Breakout: Base (64.02) and AVWAP (63.81) converge within 0.3%. Trend: Uptrend. RVOL: 2.91x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,False,False,100.0,1.8951618438313889,1.402563927283461,FULL,62.493831512428855,2.424334868903853,6639825,Uptrend,0,0,2.914113504972088,False,MOMENTUM_FAIL (3-Day Rule) | Blue Sky Breakout: Base (64.02) and AVWAP (63.81) converge within 0.3%. Trend: Uptrend. RVOL: 2.91x. Clear path above with SMA20 support and volume confirmation.,-1.0974714623251125,13650.466591527173,500.0,Other,0,RED,,,,
EXC,2021-05-19,2021-05-21,27.92796947479248,27.904691696166992,595.0,595.0,-13.85027828216316,-0.0833493414066303,"MOMENTUM_FAIL (3-Day Rule) | VWAP Reclaim: Weak open, price reclaimed VWAP at 27.79. Institutions defending position. RVOL: 1.50x",VWAP_RECLAIM,False,False,100.0,0.6015891078997022,0.5048033594054331,FULL,27.32638036689277,1.811413570377436,7878994,Weak,0,0,1.5023614187709022,False,"MOMENTUM_FAIL (3-Day Rule) | VWAP Reclaim: Weak open, price reclaimed VWAP at 27.79. Institutions defending position. RVOL: 1.50x",-0.0833493414066303,16617.141837501524,500.0,Other,0,RED,,,,
STLD,2021-04-27,2021-05-25,51.23323634606447,56.03049087524414,59.0,192.0,623.0351690452093,9.363559422199533,FASE_3_MA20_BREACH | Blue Sky Breakout: Base (50.93) and AVWAP (50.89) converge within 0.1%. Trend: Uptrend. RVOL: 2.19x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,True,30.729166666666668,1.9716228190837697,1.5162125058955125,FULL,49.261613526980696,3.3120789703275397,2295885,Weak,0,0,2.18628680711136,True,FASE_3_MA20_BREACH | Blue Sky Breakout: Base (50.93) and AVWAP (50.89) converge within 0.1%. Trend: Uptrend. RVOL: 2.19x. Clear path above with SMA20 support and volume confirmation.,9.363559422199533,3022.760944417804,500.0,Other,0,RED,,,,
AVY,2021-04-28,2021-05-25,190.69228536801015,200.2910919189453,14.0,42.0,316.70723307968274,5.033662757992934,FASE_3_MA20_BREACH | Blue Sky Breakout: Base (189.69) and AVWAP (188.54) converge within 0.6%. Trend: Uptrend. RVOL: 1.98x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,True,33.33333333333333,4.55809853416477,3.79128838695066,FULL,186.1341868338454,1.88726522469528,568630,Weak,0,0,1.9777371289904493,True,FASE_3_MA20_BREACH | Blue Sky Breakout: Base (189.69) and AVWAP (188.54) converge within 0.6%. Trend: Uptrend. RVOL: 1.98x. Clear path above with SMA20 support and volume confirmation.,5.033662757992934,2669.691995152142,500.0,Other,0,RED,,,,
UPS,2021-04-28,2021-05-25,162.35876366896383,173.96328735351562,16.0,51.0,327.4883479738388,7.147457533128586,FASE_3_MA20_BREACH | Blue Sky Breakout: Base (161.50) and AVWAP (158.92) converge within 1.6%. Trend: Uptrend. RVOL: 5.25x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,True,31.37254901960784,3.7800791800682982,2.761266857032223,FULL,158.57868448889553,1.8483219683075287,3390055,Weak,0,0,5.253307830621879,True,FASE_3_MA20_BREACH | Blue Sky Breakout: Base (161.50) and AVWAP (158.92) converge within 1.6%. Trend: Uptrend. RVOL: 5.25x. Clear path above with SMA20 support and volume confirmation.,7.147457533128586,2597.7402187034213,500.0,Industrial,0,RED,,3.158865765038499,9.0,Weak (0-5%)
CVS,2021-05-19,2021-05-26,76.82668623618908,75.0178754076657,197.0,197.0,-356.3357332191053,-2.354404331539865,STOP_LOSS | Blue Sky Breakout: Base (76.39) and AVWAP (76.36) converge within 0.0%. Trend: Uptrend. RVOL: 2.40x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,False,False,100.0,1.8088108285233773,1.3456279234202704,FULL,75.0178754076657,1.84109705950363,7862060,Weak,0,0,2.4009780781443686,False,STOP_LOSS | Blue Sky Breakout: Base (76.39) and AVWAP (76.36) converge within 0.0%. Trend: Uptrend. RVOL: 2.40x. Clear path above with SMA20 support and volume confirmation.,-2.354404331539865,15134.857188529248,500.0,Other,0,RED,,,,
EPAM,2021-05-21,2021-06-03,476.7920950927734,476.5700073242188,12.0,19.0,94.13024694824249,-0.0465795827658298,STOP_LOSS | Blue Sky Breakout: Base (474.37) and AVWAP (472.26) converge within 0.4%. Trend: Uptrend. RVOL: 1.51x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,False,63.1578947368421,12.59409485161143,9.665998840332032,FULL,464.198000241162,2.114062858488152,363680,Weak,0,0,1.5108515373601916,True,STOP_LOSS | Blue Sky Breakout: Base (474.37) and AVWAP (472.26) converge within 0.4%. Trend: Uptrend. RVOL: 1.51x. Clear path above with SMA20 support and volume confirmation.,-0.0465795827658298,5721.505141113281,500.0,Other,0,RED,,,,
CNC,2021-05-21,2021-06-04,72.86249693298339,71.44000244140625,96.0,96.0,-136.55947119140546,-1.9522999505294276,TIME_EXPIRATION (10-Day Rule) | Blue Sky Breakout: Base (72.45) and AVWAP (71.80) converge within 0.9%. Trend: Uptrend. RVOL: 1.54x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,False,False,100.0,2.5724960174560465,2.047500228881836,FULL,70.29000091552734,3.036518897219369,5721960,Weak,0,0,1.540186320625895,False,TIME_EXPIRATION (10-Day Rule) | Blue Sky Breakout: Base (72.45) and AVWAP (71.80) converge within 0.9%. Trend: Uptrend. RVOL: 1.54x. Clear path above with SMA20 support and volume confirmation.,-1.9522999505294276,6994.7997055664055,500.0,Other,0,RED,,,,
SLB,2021-06-03,2021-06-07,32.46906113972003,32.46593475341797,251.0,251.0,-0.7847229618180833,-0.0096288164557967,MOMENTUM_FAIL (3-Day Rule) | Blue Sky Breakout: Base (32.26) and AVWAP (32.13) converge within 0.4%. Trend: Uptrend. RVOL: 1.99x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,False,False,100.0,1.3436409863802687,1.0216998098144408,FULL,31.125420153339764,3.5629618797478324,14950985,Uptrend,0,0,1.988999030767024,False,MOMENTUM_FAIL (3-Day Rule) | Blue Sky Breakout: Base (32.26) and AVWAP (32.13) converge within 0.4%. Trend: Uptrend. RVOL: 1.99x. Clear path above with SMA20 support and volume confirmation.,-0.0096288164557967,8149.734346069728,500.0,Energy,0,RED,,5.646687752041557,2.0,Moderate (5-10%)
DVN,2021-06-02,2021-06-08,23.871271970330763,23.81969371677868,188.0,312.0,105.1940574794342,-0.216068308451233,STOP_LOSS | Blue Sky Breakout: Base (23.70) and AVWAP (23.59) converge within 0.5%. Trend: Uptrend. RVOL: 3.18x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,False,60.256410256410255,1.2004277509001575,0.9265384608647308,FULL,22.67084421943061,4.446891733941757,13065245,Weak,0,0,3.18180848094123,True,STOP_LOSS | Blue Sky Breakout: Base (23.70) and AVWAP (23.59) converge within 0.5%. Trend: Uptrend. RVOL: 3.18x. Clear path above with SMA20 support and volume confirmation.,-0.216068308451233,4487.799130422183,500.0,Energy,0,RED,,8.763292157449754,1.0,Moderate (5-10%)
